Column1,Column49,variable,min,max,index,refined_min,refined_max
85,Infections,Column37,0.01,0.99,37,1.0,1.0
86,Infections,Column38,0.0005,0.99,38,1.0,1.0
87,Infections,Column39,0.01,0.99,39,1.0,1.0
88,Infections,Column40,0.0005,0.99,40,1.0,1.0
89,Infections,Column41,0.01929162038024395,0.99,41,1.0,1.0
90,Infections,Column42,0.01,0.99,42,1.0,1.0
91,Infections,Column43,0.01,0.99,43,1.0,1.0
92,Infections,Column44,0.01,0.99,44,1.0,1.0
93,Infections,Column45,0.0005,0.99,45,1.0,1.0
94,Infections,Column46,0.01,0.99,46,1.0,1.0
95,Infections,Column47,0.01,0.99,47,1.0,1.0
96,Infections,Column48,0.01,0.99,48,1.0,1.0
97,YLL,Column1,0.0005,0.00801161527481417,1,1.0,1.0
98,YLL,Column2,0.0005,0.007807228480321758,2,1.0,1.0
99,YLL,Column3,0.0005,0.007803976703711467,3,1.0,1.0
100,YLL,Column4,0.11983754062281943,0.3014116306897503,4,1.0,1.0
101,YLL,Column5,0.0005,0.007861269998451778,5,1.0,1.0
102,YLL,Column6,0.6993987601882992,0.8934525452438005,6,1.0,1.0
103,YLL,Column7,0.0005,0.023622913375418754,7,1.0,1.0
104,YLL,Column8,0.0005,0.023378190186076037,8,1.0,1.0
105,YLL,Column9,0.0005,0.02399588970073015,9,1.0,1.0
106,YLL,Column10,0.0005,0.025067040821548738,10,1.0,1.0
107,YLL,Column11,0.0005,0.024925930452576683,11,1.0,1.0
108,YLL,Column12,0.039616849313668615,0.6159757863608044,12,1.0,1.0
109,YLL,Column13,0.0005,0.017665432087009977,13,1.0,1.0
110,YLL,Column14,0.0005,0.02873770615367907,14,1.0,1.0
111,YLL,Column15,0.32268731539385087,0.6748212305854564,15,1.0,1.0
112,YLL,Column16,0.0005,0.0556567621231172,16,1.0,0.0
113,YLL,Column17,0.0005,0.07112947954741844,17,1.0,1.0
114,YLL,Column18,0.0005,0.10204193975417593,18,1.0,1.0
115,YLL,Column19,0.0005,0.07108673784088329,19,1.0,1.0
116,YLL,Column20,0.0005,0.19497304825581052,20,1.0,1.0
117,YLL,Column21,0.0005,0.024344783329894083,21,1.0,1.0
118,YLL,Column22,0.0005,0.03944636395094202,22,1.0,1.0
119,YLL,Column23,0.2804448777321932,0.9420497368726053,23,1.0,1.0
120,YLL,Column24,0.07093536553400791,0.6331177745347739,24,1.0,1.0
121,YLL,Column25,0.0005,0.05671529527438122,25,1.0,1.0
122,YLL,Column26,0.0005,0.331948080591676,26,1.0,1.0
123,YLL,Column27,0.0005,0.11814263488762242,27,1.0,1.0
124,YLL,Column28,0.0005,0.1864475508296006,28,1.0,1.0
125,YLL,Column29,0.018207118973674344,0.8253354235723582,29,1.0,1.0
126,YLL,Column30,0.0005,0.24426553743149607,30,1.0,1.0
127,YLL,Column31,0.0005,0.43491750142676006,31,1.0,1.0
128,YLL,Column32,0.01,0.989949131194681,32,1.0,0.0
129,YLL,Column33,0.01,0.99,33,1.0,1.0
130,YLL,Column34,0.0005,0.99,34,1.0,1.0
131,YLL,Column35,0.01,0.99,35,1.0,1.0
132,YLL,Column36,0.0005,0.99,36,1.0,1.0
133,YLL,Column37,0.019686251865700236,0.99,37,1.0,1.0
134,YLL,Column38,0.0005,0.9824360636989344,38,1.0,1.0
135,YLL,Column39,0.0005,0.9670337985995949,39,1.0,1.0
136,YLL,Column40,0.0005,0.9673848881170498,40,1.0,1.0
137,YLL,Column41,0.01,0.99,41,1.0,1.0
138,YLL,Column42,0.01,0.99,42,1.0,1.0
139,YLL,Column43,0.01,0.99,43,1.0,1.0
140,YLL,Column44,0.0005,0.99,44,1.0,1.0
141,YLL,Column45,0.01,0.99,45,1.0,1.0
142,YLL,Column46,0.01,0.99,46,1.0,1.0
143,YLL,Column47,0.01,0.99,47,1.0,1.0
144,YLL,Column48,0.01,0.99,48,1.0,1.0
