Column1,Column49,variable,min,max,index,refined_min,refined_max
1,Deaths,Column1,0.000310380416198138,0.000621893340745151,1,0.0,0.0
2,Deaths,Column2,4.09766848819786e-5,0.000227826985844148,2,0.0,0.0
3,Deaths,Column3,1.40024171501676e-5,0.000189631017408215,3,0.0,0.0
4,Deaths,Column4,0.106386315929654,0.15180119637817,4,0.0,0.0
5,Deaths,Column5,8.03981013696846e-5,0.00088229311409117,5,0.0,0.0
6,Deaths,Column6,0.825541874792689,0.869406888902608,6,0.0,0.0
7,Deaths,Column7,0.00026261644673752,0.00108294072865901,7,0.0,0.0
8,Deaths,Column8,0.0101090712097712,0.0479674566519849,8,0.0,0.0
9,Deaths,Column9,0.000435300740395021,0.00189000802866127,9,0.0,0.0
10,Deaths,Column10,4.01869647982268e-5,0.000563966290631907,10,0.0,0.0
11,Deaths,Column11,0.00013151449997774,0.000798262806945775,11,0.0,0.0
12,Deaths,Column12,0.000272826464197755,0.00217799351357969,12,0.0,0.0
13,Deaths,Column13,0.000490964508511497,0.00575710454168552,13,0.0,0.0
14,Deaths,Column14,0.00027361771743152,0.0057101392222313,14,0.0,0.0
15,Deaths,Column15,0.38323005602644,0.413462107010962,15,0.0,0.0
16,Deaths,Column16,0.57306985942266,0.610905530273982,16,0.0,0.0
17,Deaths,Column17,0.000207450030780479,0.00311589034194486,17,0.0,0.0
18,Deaths,Column18,0.000142763965205647,0.00217317994241902,18,0.0,0.0
19,Deaths,Column19,7.81620091957151e-5,0.000861143665047615,19,0.0,0.0
20,Deaths,Column20,0.000463218773428524,0.0127653624266845,20,0.0,0.0
21,Deaths,Column21,0.00124904943378607,0.00552907222109608,21,0.0,0.0
22,Deaths,Column22,0.000288971561778782,0.00190367748526714,22,0.0,0.0
23,Deaths,Column23,0.972728639203543,0.996494941019129,23,0.0,0.0
24,Deaths,Column24,1.09331778557046e-5,0.00139640235665389,24,0.0,0.0
25,Deaths,Column25,0.0113683606294251,0.0719960453284387,25,0.0,0.0
26,Deaths,Column26,0.0447427700323252,0.23266345862376,26,0.0,0.0
27,Deaths,Column27,0.00451691617280405,0.0521199545070573,27,0.0,0.0
28,Deaths,Column28,0.0187975614954128,0.331805095423244,28,0.0,0.0
29,Deaths,Column29,0.260631325915974,0.890308039228016,29,0.0,0.0
30,Deaths,Column30,0.00294157595250188,0.016348818762925,30,0.0,0.0
31,Deaths,Column31,0.0066070343168564,0.0210437847035404,31,0.0,0.0
32,Deaths,Column32,0.00882341685007987,0.0316906524056076,32,0.0,0.0
33,Deaths,Column33,0.014888323632931,0.0637293309395776,33,0.0,0.0
34,Deaths,Column34,0.00371348611819806,0.0350756091592731,34,0.0,0.0
35,Deaths,Column35,0.0148491758703177,0.196533306413362,35,0.0,0.0
36,Deaths,Column36,0.0200728685555424,0.207859364042148,36,0.0,0.0
37,Deaths,Column37,0.0405192633583478,0.61175842826133,37,0.0,0.0
38,Deaths,Column38,0.0659424978886066,0.271070643280343,38,0.0,0.0
39,Deaths,Column39,0.108035857776587,0.373544681449388,39,0.0,0.0
40,Deaths,Column40,0.00977259207652207,0.130769010480328,40,0.0,0.0
41,Deaths,Column41,0.108596672923531,0.183997044231262,41,0.0,0.0
42,Deaths,Column42,0.0738786361079828,0.218765707996084,42,0.0,0.0
43,Deaths,Column43,0.11329222741813,0.295613869724276,43,0.0,0.0
44,Deaths,Column44,0.101218565244889,0.3144468712818,44,0.0,0.0
45,Deaths,Column45,0.0121593040004562,0.0528849233699982,45,0.0,0.0
46,Deaths,Column46,0.111508997826309,0.396239874919908,46,0.0,0.0
47,Deaths,Column47,0.0165890994275813,0.0635116877235616,47,0.0,0.0
48,Deaths,Column48,0.0221825616283794,0.0989270953464309,48,0.0,0.0
49,Infections,Column1,9.8534262818693e-5,0.00063918140893446,1,0.0,0.0
50,Infections,Column2,1.16231327376818e-5,0.000151230172894661,2,0.0,0.0
51,Infections,Column3,4.350555763929e-5,0.000370224339675653,3,0.0,0.0
52,Infections,Column4,0.901390093013027,0.938006434021493,4,0.0,0.0
53,Infections,Column5,5.44951663390365e-5,0.00237614547952536,5,0.0,0.0
54,Infections,Column6,0.0585856094212173,0.0976121556575955,6,0.0,0.0
55,Infections,Column7,7.60794294918526e-6,0.000440496172956608,7,0.0,0.0
56,Infections,Column8,1.2310491069658e-5,0.000276895237712627,8,0.0,0.0
57,Infections,Column9,0.000435944423931679,0.00280564274957009,9,0.0,0.0
58,Infections,Column10,0.286413413200167,0.401458243184169,10,0.0,0.0
59,Infections,Column11,0.000641173674359622,0.00391548816743343,11,0.0,0.0
60,Infections,Column12,0.000462577148504665,0.0145962164548412,12,0.0,0.0
61,Infections,Column13,0.000250800736553684,0.00244412257998732,13,0.0,0.0
62,Infections,Column14,0.591122362345018,0.70565355324317,14,0.0,0.0
63,Infections,Column15,6.02484310000477e-5,0.00195987374900265,15,0.0,0.0
64,Infections,Column16,6.40408036687573e-6,0.00032222969946237,16,0.0,0.0
65,Infections,Column17,0.00153017973239254,0.0201338373708299,17,0.0,0.0
66,Infections,Column18,0.784339891488642,0.973075522197638,18,0.0,0.0
67,Infections,Column19,0.00997399711363574,0.193374105315792,19,0.0,0.0
68,Infections,Column20,0.000320255814574382,0.0065118577721328,20,0.0,0.0
69,Infections,Column21,0.000542438492607388,0.0139643500594797,21,0.0,0.0
70,Infections,Column22,0.000121740538671098,0.00979242962422741,22,0.0,0.0
71,Infections,Column23,0.00123732445421006,0.0164942314213239,23,0.0,0.0
72,Infections,Column24,0.000292489907015364,0.00466693185274022,24,0.0,0.0
73,Infections,Column25,0.0160610087010093,0.0602050180959465,25,0.0,0.0
74,Infections,Column26,0.00282428057609187,0.0393275350138249,26,0.0,0.0
75,Infections,Column27,0.766202043186778,0.934754844690157,27,0.0,0.0
76,Infections,Column28,0.00244133436674995,0.0235545473748853,28,0.0,0.0
77,Infections,Column29,0.0111731582056988,0.11409574445396,29,0.0,0.0
78,Infections,Column30,0.00397443925216029,0.0540783566354279,30,0.0,0.0
79,Infections,Column31,0.00454754382273056,0.0586026429997754,31,0.0,0.0
80,Infections,Column32,0.00235633518898241,0.0239792267263208,32,0.0,0.0
81,Infections,Column33,0.0121377803184418,0.0638564071023089,33,0.0,0.0
82,Infections,Column34,0.0261394748294737,0.143807591401408,34,0.0,0.0
83,Infections,Column35,0.00794875564999536,0.0564376666923064,35,0.0,0.0
84,Infections,Column36,0.00984129533416124,0.103434850113885,36,0.0,0.0
85,Infections,Column37,0.0408243158995087,0.343610376561128,37,0.0,0.0
86,Infections,Column38,0.00145253941073785,0.0283796376281004,38,0.0,0.0
87,Infections,Column39,0.338706128985948,0.852498511496054,39,0.0,0.0
88,Infections,Column40,0.00511857999747523,0.0865482766874606,40,0.0,0.0
89,Infections,Column41,0.0471664815209758,0.100565409901212,41,0.0,0.0
90,Infections,Column42,0.046997165598584,0.361145335757952,42,0.0,0.0
91,Infections,Column43,0.060273110947954,0.512699251785952,43,0.0,0.0
92,Infections,Column44,0.0531612407270031,0.262870567076267,44,0.0,0.0
93,Infections,Column45,0.0028903053720341,0.186531003446126,45,0.0,0.0
94,Infections,Column46,0.0101681996239041,0.180932887467792,46,0.0,0.0
95,Infections,Column47,0.0595533816025361,0.433830582550235,47,0.0,0.0
96,Infections,Column48,0.0258390110846513,0.321144767677935,48,0.0,0.0
97,YLL,Column1,0.0005,0.00801161527481417,1,1.0,1.0
98,YLL,Column2,0.0005,7.19873821305008e-5,2,1.0,0.0
99,YLL,Column3,1.01216101548373e-5,6.87742633554719e-5,3,0.0,0.0
100,YLL,Column4,0.12975514625613,0.163007959760748,4,0.0,0.0
101,YLL,Column5,0.0005,0.0001253864428117,5,1.0,0.0
102,YLL,Column6,0.836295088036906,0.869623576725543,6,0.0,0.0
103,YLL,Column7,1.48134149322149e-5,0.000421434604341967,7,0.0,0.0
104,YLL,Column8,1.42608794927384e-5,0.000175751716217515,8,0.0,0.0
105,YLL,Column9,0.000259834597033078,0.000795873581909487,9,0.0,0.0
