Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72
0.04874604898709164,0.1066796061798125,0.11287832074095396,0.005978100391869284,0.10810712880015774,0.01477530031383624,0.1284052966161765,0.060655679032518874,0.00015296554677898802,0.0315051317516127,0.0008885716245697913,0.060718039015382114,0.00033298565557978235,0.047058325770086874,6.394504017544775e-5,0.00028003559581433514,1.5706996677262936e-5,0.0030897675756987155,8.458723160731732e-5,0.004797198390306997,3.2398489163230664e-5,0.0038741767474334667,6.554660727368624e-6,3.0373728713110767e-5,0.0007432478910243676,0.0027988128117643306,0.0033340683953711737,0.0010209398380716089,0.002767110201217354,0.0012950529941341176,0.0020388513641579837,0.0002839067542414232,0.0007774386554434188,0.0029863786480614804,0.0035933673412479076,0.001489510987723782,0.0029480436798378345,0.001674071519961662,0.002115701318698048,0.00029144625868378533,0.00012930325684117484,0.0005066976476417855,0.0006153386119576355,0.00032614132393252924,0.0004991550853615873,0.00033658926825511087,0.0003492316541428819,4.7591491621884314e-5,0.0011873874578720502,0.004715903157052676,0.005752556161689695,0.003532035137980019,0.004633892015824688,0.0034777992138123057,0.0031930686537320397,0.00043229428955477047,2.4104436459159285e-8,3.9403999545977063e-7,4.331110125484267e-6,4.608884195532359e-6,3.91000302764788e-5,4.529768931711605e-5,0.0001728439773653308,0.00015063801346009944,0.009269912573564836,0.03355017092990717,0.03572093333608036,0.03264620231117739,0.02969218618306443,0.028388776032250408,0.024298200087329965,0.006967202727795841
0.04853481775483295,0.10518996791212466,0.11195454992626806,0.004440610576232955,0.10734076218055823,0.013438254320908137,0.1278292766096657,0.06056823634746987,0.00015622013288066862,0.03217545370377468,0.0009074774038159571,0.06200991218592216,0.0003400704567623309,0.04805956674391851,6.530557294513812e-5,0.00028599379998059756,1.600171945102576e-5,0.0031426750617985174,8.601137235630382e-5,0.004858828399349105,3.295837699853834e-5,0.003926545742057859,6.676504308619414e-6,3.0995279022731105e-5,0.0007402423088201397,0.0027718458414902627,0.003292405291568702,0.0009155219962446184,0.002741443029562027,0.001211382043621504,0.0020354384701851387,0.0002842910092704798,0.000779473776457141,0.0029782570925744444,0.003574067705896626,0.0013791539959876352,0.0029412239332237107,0.0015918838629631004,0.0021258306750752175,0.0002937053133951488,0.0001305528429686246,0.0005090113534874095,0.0006167175758537474,0.00030904963440757724,0.0005016971281884658,0.000324826333303862,0.00035329104495238317,4.827906463066111e-5,0.0012045879487117804,0.004761370002568288,0.0057968628560699075,0.0033976428367345052,0.004681634011382168,0.003392234769088374,0.003244970429220021,0.000440450847302706,2.5167250955343996e-8,4.1013825511969673e-7,4.508468899803445e-6,4.717781424054227e-6,4.074674677133466e-5,4.653357252536174e-5,0.00018058361256100377,0.00015755009241176596,0.00946011381835691,0.03430387163547343,0.036639473952874216,0.033197338874336645,0.030431464277036323,0.028934162160700595,0.024802320453592347,0.007029666138920165
0.04832573938015015,0.10371305705940857,0.11104811492411609,0.002930647979622449,0.10658641427130928,0.012124601418589323,0.1272577366970908,0.06048118113571823,0.00015947471898234921,0.03284577565593665,0.0009263831830621229,0.0633017853564622,0.00034715525794487946,0.04906080771775014,6.66661057148285e-5,0.00029195200414686,1.6295600141066687e-5,0.0031952826633952973,8.74317658813298e-5,0.004920800954154089,3.351637590297782e-5,0.003979016609724695,6.797902126854259e-6,3.161613978950431e-5,0.0007359366995721426,0.0027400956324688582,0.0032452203078885775,0.0008121170470937647,0.0027110348759974154,0.0011279342241420124,0.0020285133766210234,0.0002841795562755221,0.0007801107143491827,0.002964670943927386,0.0035481376056083424,0.0012685324386050982,0.002928958660504949,0.001508035993911591,0.0021322740219302918,0.00029546699739811997,0.0001315792697168706,0.0005104012991234332,0.0006169250806303961,0.00029146672313833165,0.0005033145655059658,0.00031245749356697156,0.0003567765547199158,4.889276733054983e-5,0.0012199574776111577,0.004798953259325582,0.005830920385023036,0.0032562619237607054,0.004721483028960069,0.003299532221541999,0.0032922465225383355,0.0004480308747338504,2.624546137885198e-8,4.2639172091101537e-7,4.6871937070284365e-6,4.822535163463278e-6,4.2410429033047704e-5,4.773904924549356e-5,0.00018844905175647962,0.00016459258893426282,0.009652915363745898,0.035064199836240116,0.0375642541076864,0.033726341322639145,0.03117771267532454,0.02946526482061507,0.025314233140007025,0.007093255828077222
0.048119145454422675,0.10224996542460488,0.11016024487608261,0.0014469617674497785,0.10584520286749108,0.0108337051347918,0.12669159808754288,0.06039464962899164,0.0001627293050840298,0.03351609760809863,0.0009452889623082887,0.06459365852700225,0.000354240059127428,0.050062048691581776,6.802663848451887e-5,0.0002979102083131224,1.6588776056717262e-5,0.0032476331895743577,8.884989830129816e-5,0.004983290435217904,3.407297554699447e-5,0.004031716739295982,6.9189109799938086e-6,3.223638937848724e-5,0.0007303678515539161,0.0027037834710930938,0.003192848096679429,0.0007112308526622223,0.0026761113757013226,0.0010451553682601067,0.002018150416191817,0.0002835766028677205,0.0007793562026549575,0.0029457309150996997,0.0035157912734928784,0.0011582879129096398,0.002911365435851779,0.0014230367384363088,0.0021350250279954146,0.00029672427951354566,0.00013237795717927148,0.0005108624021139657,0.0006159675383730968,0.00027350330903684725,0.000504003343722332,0.0002995620381470825,0.00035967252313991714,4.942960032671634e-5,0.0012334245756510664,0.004828470453642987,0.005854598347920539,0.0031087630932906483,0.004753262143321392,0.003200267527439881,0.003334681729640779,0.00045499899209404057,2.7337428860349324e-8,4.427734813271377e-7,4.866968552083862e-6,4.922929945787449e-6,4.408827218464019e-5,4.8911582855678394e-5,0.00019642908282436407,0.0001717562847169068,0.009848018009698697,0.03582987650383788,0.038493618591893104,0.034232157453124176,0.03192965366753617,0.02998098572827868,0.025833190955705874,0.00715788590620194
0.04791535010691783,0.10080169769610911,0.1092920515877772,-1.1788660414028792e-5,0.10511815939022076,0.009564834376194074,0.12613174147045644,0.0603087739471116,0.0001659838911857104,0.034186419560260604,0.0009641947415544545,0.06588553169754229,0.0003613248603099766,0.05106328966541341,6.938717125420924e-5,0.00030386841247938485,1.6881386221187478e-5,0.0032997701412387542,9.02672406971653e-5,0.005046464164433539,3.4628664835662754e-5,0.004084769299294715,7.039588825612811e-6,3.2856108486665525e-5,0.0007235795851135804,0.0026631543387194766,0.0031356457978401254,0.0006133227030867029,0.002636920578071795,0.0009634637705400028,0.0020044433691200837,0.000282489273506466,0.000777225596057899,0.0029215807332012437,0.0034772803093042963,0.0010490332175883258,0.0028885942388728407,0.001337384740892719,0.0021341001322165427,0.0002974732083468916,0.00013294575280808855,0.0005103955973051758,0.0006138589671094655,0.0002552701460029371,0.0005037654654665615,0.00028622140073985327,0.0003619669099742196,4.988700771267468e-5,0.0012449288060325662,0.004849788362570671,0.005867832000666907,0.002956045774456842,0.004776844488146851,0.0030950546816518737,0.003372088067556553,0.00046132294432707456,2.844145055963671e-8,4.592560019672785e-7,5.047473419473678e-6,5.018777147688173e-6,4.5777408476347296e-5,5.00488414079688e-5,0.0002045119720071349,0.00017903139575184968,0.010045111903942765,0.03659959705613981,0.03942589643523425,0.034713878460794954,0.03268598504608234,0.030480322772952675,0.026358414691094754,0.007223465594681508
0.047717851445264435,0.10011310066248479,0.10846459107756058,-1.156359501856604e-5,0.1044131908601995,0.00942958228203393,0.1255794264257444,0.060229781300007675,0.00016635594918122578,0.03418720227555968,0.0009650433836190283,0.06588549633156104,0.0003621410925108834,0.05106336393541452,7.036657185960285e-5,0.00030433670419585326,1.6853289534981903e-5,0.0032773441735479475,8.967889119700136e-5,0.004966936276077451,3.448742103664244e-5,0.004027051876828952,7.11764637555166e-6,3.286538932320876e-5,0.0007156221287699597,0.0026184737545989984,0.0030739886106737886,0.0005188031091892418,0.00259372969930416,0.0008832472048201951,0.0019875040208032664,0.00028092748391954483,0.0007737425499810363,0.002892394995775956,0.003432890025333981,0.000941346880111131,0.0028608251112316172,0.001251563390696478,0.0021295379453402457,0.0002977129125573268,0.0001332809468884098,0.0005090077590703292,0.0006106207051396299,0.00023687677757186398,0.0005026088760181418,0.00027251818945473773,0.00036365137317022437,5.02628991039315e-5,0.0012544212390342515,0.004862823900330069,0.005870621939407678,0.002799027813592426,0.004792153897661696,0.0029845383585766576,0.0034043062840459263,0.00046697387942384465,2.9555769540351357e-8,4.7581129365930387e-7,5.228386297557331e-6,5.109915876394658e-6,4.747492507473372e-5,5.114871114583751e-5,0.00021268552989793236,0.0001864076222957814,0.010243878365306347,0.037372039408885394,0.0403594115343741,0.03517074277167826,0.03344538825744577,0.03096237560011599,0.026889097575268403,0.007289899701576954
0.0475241190841841,0.09943690152184416,0.10765945891720466,-1.1347360309370471e-5,0.10372503635963054,0.009299377026455466,0.1250360951891451,0.06015220194864454,0.00016635891662754215,0.03418720850132724,0.0009650501287435781,0.065885461640776,0.000362147585689625,0.05106336452181517,7.037438131026066e-5,0.00030434044972582245,1.6785196807506824e-5,0.0032552087549608966,8.901396085522664e-5,0.004890609107913506,3.4260849138974e-5,0.003971446011698747,7.087719415520197e-6,3.2823475291184476e-5,0.0007065631481646418,0.002574546764546006,0.0030083994334681396,0.00044788429599692885,0.002546863120004448,0.0008186848115384684,0.001967462214905501,0.0002789108580942574,0.0007689386093139698,0.002858376707509853,0.0033829355177681705,0.0008357685271815818,0.002828265521647656,0.00116603626484074,0.0021213984032522693,0.0002974455654566415,0.0001333832704076343,0.000506711550825162,0.0006062810394491887,0.00021843036605996764,0.0005005472773331734,0.0002585352398765015,0.0003647213018681753,5.0555666207324515e-5,0.0012618647915084934,0.004867544403467653,0.0058630330025505354,0.0026386352962931453,0.00479916493454872,0.002869386388900993,0.003431207031379376,0.0004719265897777127,3.067858506979689e-8,4.924110836085388e-7,5.4093851930742045e-6,5.19621353753009e-6,4.917788207982114e-5,5.220930740656491e-5,0.00022093718108058294,0.00019387420328223848,0.010443991774131235,0.038145872125982236,0.04129249316837077,0.03560213819318997,0.034206536610410176,0.03142634997655464,0.027424409950148755,0.007357089135924398
0.04733399621084341,0.09877311043928988,0.10687647311457445,-1.1139852479301168e-5,0.10305355001875906,0.009174159298398273,0.12450140077013921,0.060075635169056917,0.00016636183310296415,0.03418721460360299,0.0009650567356238723,0.06588542759869506,0.00036215395112101055,0.051063365092502325,7.03820545655573e-5,0.0003043441411654944,1.6718371894391166e-5,0.0032334795073903407,8.836732021386453e-5,0.004817473367999525,3.403976376663655e-5,0.003917970135054533,7.058263122789513e-6,3.278210721048925e-5,0.00069646140033594,0.0025302575951827487,0.002939238225183649,0.00039388539576093863,0.0024966082300412703,0.0007653063349727619,0.0019444644813939801,0.0002764528189121821,0.0007628560338816847,0.0028210364698435996,0.0033277955411936616,0.0007384224910685919,0.0027911592092239625,0.0010851618658560048,0.002109762162596663,0.0002966783198596692,0.0001332538757937577,0.000503525206164649,0.0006008747577681913,0.00020003461389439954,0.0004975998751384263,0.0002443547077573133,0.000365175804848464,5.076419375232853e-5,0.0012672344284646573,0.0048639673227168145,0.005845192433267242,0.002475792680688909,0.004797902320103728,0.0027502822104165893,0.0034526916929869945,0.00047615971342922973,3.180806322265173e-8,5.090269875199785e-7,5.590150111815965e-6,5.277566089138802e-6,5.088333055213492e-5,5.322898285014066e-5,0.00022925403661473048,0.00020141997459301357,0.010645121507350168,0.03891976257036828,0.0422234862756666,0.03600760241892199,0.03496810344177691,0.031871560921279345,0.02796350410623716,0.007424931454424793
0.04714767906173261,0.0981224131106619,0.10611607281942342,-1.094088254790318e-5,0.10239924160548547,0.00905389170856074,0.12397593699230759,0.060000177424593557,0.00016636470058845683,0.03418722058726133,0.0009650632101825552,0.06588539417913762,0.00036216019408765826,0.051063365648271346,7.038959683937959e-5,0.0003043477805373223,1.665288439470529e-5,0.0032121788791013,8.773933341506905e-5,0.0047474825636370736,3.382433418403169e-5,0.003866608280096594,7.029311910425805e-6,3.274133796625838e-5,0.000685416169071759,0.0024850007640242534,0.0028670780249705646,0.00035205647282895183,0.0024434155669503304,0.0007199948402149094,0.0019187548699875785,0.000273581974982726,0.0007555423974132618,0.0027811631755832087,0.0032678492354804617,0.0006518956121519715,0.002749765963327091,0.0010108617647814578,0.002094729769692553,0.00029542021384418266,0.00013289544377049865,0.0004995272947121954,0.0005944442665756975,0.00018203043910465904,0.0004937915686240027,0.0002302254919130848,0.0003650176758970211,5.088795079106189e-5,0.001270517974798944,0.004852448340059416,0.005817295923373002,0.0023126820461556357,0.004788442433915027,0.002628800873567656,0.003468692963809234,0.00047965634471897067,3.294234766511189e-8,5.256306806686366e-7,5.770364982646449e-6,5.353897991509382e-6,5.25883303372488e-5,5.42063330054605e-5,0.0002376229685246713,0.00020903343054732535,0.010846933895612294,0.03969238495946254,0.043150761375199936,0.03638682195217973,0.03572877014357228,0.03229743460867604,0.028505519223537102,0.007493321434422712
0.04696531024116662,0.0974853190001062,0.10537841185580192,-1.0750191855914668e-5,0.10176239640667427,0.008938484953244502,0.12346016596536734,0.059925906900893666,0.00016636752102738245,0.03418722645707886,0.000965069558191797,0.06588536135648998,0.0003621663197509512,0.051063366189887584,7.03970132502293e-5,0.0003043513698303547,1.6588784962447782e-5,0.003191323549156482,8.713012867021875e-5,0.004680559095388093,3.361465549546297e-5,0.003817322309126255,7.000892720767863e-6,3.27012104674089e-5,0.0006735522454727764,0.002438524424906166,0.002792614995106582,0.0003190250860767499,0.002387832510299805,0.000680591031135892,0.0018906399713811094,0.00027033711298944977,0.0007470606494376627,0.002739162355708636,0.003203536423939935,0.000576734005248958,0.0027044035632026297,0.0009436582595680529,0.0020764439662524095,0.0002936859694541508,0.00013231203172811795,0.0004948107359956468,0.0005870377142122883,0.000164785116653251,0.0004891522247108006,0.0002164171492938126,0.0003642533320902346,5.092692643685868e-5,0.0012717156013410426,0.004833473638604516,0.005779598588158643,0.0021517781738036247,0.004770910055420543,0.0025067409592684897,0.003479175166028354,0.00048240386607460684,3.407957116560222e-8,5.421950524895105e-7,5.949719767862198e-6,5.425200981270311e-6,5.4289968423261106e-5,5.51405131169979e-5,0.0002460306856948935,0.0002167027951548938,0.01104909431502298,0.04046248038493783,0.04407272556975411,0.03673985843785324,0.03648723443650542,0.0327036681844457,0.029049586379720226,0.00756215174110273
