Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.3973270720197805e-9,2.3302055119149564e-8,0.001999952128448982,0.001333301418965988,2.5775241959706555e-8,1.7183494639804372e-8,4.363384517453431e-9,2.7644150553330943e-9
1.2794654144039561e-8,4.660411023829913e-8,0.003999904256897964,0.002666602837931976,5.155048391941311e-8,3.4366989279608745e-8,8.726769034906862e-9,5.528830110666189e-9
1.9191981216059342e-8,6.990616535744869e-8,0.005999856385346947,0.003999904256897964,7.732572587911966e-8,5.155048391941312e-8,1.3090153552360292e-8,8.293245165999283e-9
2.5589308288079122e-8,9.320822047659826e-8,0.007999808513795928,0.005333205675863952,1.0310096783882622e-7,6.873397855921749e-8,1.7453538069813723e-8,1.1057660221332377e-8
3.1986635360098905e-8,1.1651027559574782e-7,0.00999976064224491,0.00666650709482994,1.2887620979853278e-7,8.591747319902186e-8,2.1816922587267154e-8,1.3822075276665472e-8
3.8383962432118685e-8,1.3981233071489738e-7,0.011999712770693892,0.007999808513795928,1.5465145175823932e-7,1.0310096783882623e-7,2.6180307104720585e-8,1.6586490331998565e-8
4.4781289504138464e-8,1.6311438583404693e-7,0.013999664899142873,0.009333109932761915,1.8042669371794587e-7,1.202844624786306e-7,3.054369162217401e-8,1.9350905387331658e-8
5.1178616576158244e-8,1.864164409531965e-7,0.015999617027591857,0.010666411351727904,2.0620193567765242e-7,1.3746795711843498e-7,3.4907076139627446e-8,2.211532044266475e-8
5.7575943648178024e-8,2.097184960723461e-7,0.01799956915604084,0.011999712770693893,2.3197717763735896e-7,1.5465145175823935e-7,3.927046065708088e-8,2.4879735497997844e-8
6.397327072019781e-8,2.3302055119149567e-7,0.019999521284489823,0.013333014189659882,2.577524195970655e-7,1.7183494639804372e-7,4.3633845174534314e-8,2.7644150553330937e-8
7.037059779221759e-8,2.5632260631064524e-7,0.021999473412938807,0.014666315608625871,2.8352766155677205e-7,1.890184410378481e-7,4.799722969198775e-8,3.0408565608664034e-8
7.676792486423737e-8,2.796246614297948e-7,0.02399942554138779,0.01599961702759186,3.093029035164786e-7,2.0620193567765247e-7,5.236061420944118e-8,3.317298066399713e-8
8.316525193625715e-8,3.029267165489444e-7,0.025999377669836773,0.01733291844655785,3.3507814547618514e-7,2.2338543031745684e-7,5.6723998726894616e-8,3.5937395719330226e-8
8.956257900827693e-8,3.26228771668094e-7,0.027999329798285757,0.018666219865523838,3.608533874358917e-7,2.405689249572612e-7,6.108738324434805e-8,3.870181077466332e-8
9.595990608029671e-8,3.4953082678724355e-7,0.02999928192673474,0.019999521284489827,3.8662862939559823e-7,2.5775241959706556e-7,6.545076776180148e-8,4.146622582999642e-8
1.0235723315231649e-7,3.7283288190639313e-7,0.03199923405518372,0.021332822703455816,4.124038713553048e-7,2.7493591423686996e-7,6.981415227925492e-8,4.4230640885329516e-8
1.0875456022433627e-7,3.961349370255427e-7,0.0339991861836327,0.022666124122421805,4.381791133150113e-7,2.9211940887667436e-7,7.417753679670835e-8,4.699505594066261e-8
1.1515188729635605e-7,4.194369921446923e-7,0.03599913831208168,0.023999425541387794,4.6395435527471787e-7,3.0930290351647876e-7,7.854092131416179e-8,4.975947099599571e-8
1.2154921436837583e-7,4.4273904726384186e-7,0.03799909044053066,0.025332726960353782,4.897295972344245e-7,3.2648639815628315e-7,8.290430583161522e-8,5.2523886051328805e-8
1.2794654144039562e-7,4.6604110238299144e-7,0.03999904256897964,0.02666602837931977,5.15504839194131e-7,3.4366989279608755e-7,8.726769034906865e-8,5.52883011066619e-8
1.343438685124154e-7,4.89343157502141e-7,0.04199899469742862,0.02799932979828576,5.412800811538376e-7,3.6085338743589195e-7,9.163107486652209e-8,5.8052716161995e-8
1.407411955844352e-7,5.126452126212906e-7,0.0439989468258776,0.02933263121725175,5.670553231135441e-7,3.7803688207569635e-7,9.599445938397552e-8,6.08171312173281e-8
1.47138522656455e-7,5.359472677404402e-7,0.04599889895432658,0.030665932636217738,5.928305650732506e-7,3.9522037671550075e-7,1.0035784390142896e-7,6.358154627266119e-8
1.535358497284748e-7,5.592493228595897e-7,0.04799885108277556,0.03199923405518373,6.186058070329572e-7,4.1240387135530515e-7,1.0472122841888239e-7,6.634596132799429e-8
1.5993317680049458e-7,5.825513779787393e-7,0.04999880321122454,0.033332535474149716,6.443810489926637e-7,4.2958736599510955e-7,1.0908461293633583e-7,6.911037638332738e-8
1.6633050387251438e-7,6.058534330978889e-7,0.05199875533967352,0.034665836893115705,6.701562909523703e-7,4.4677086063491395e-7,1.1344799745378926e-7,7.187479143866048e-8
1.7272783094453417e-7,6.291554882170385e-7,0.0539987074681225,0.035999138312081694,6.959315329120768e-7,4.6395435527471835e-7,1.1781138197124269e-7,7.463920649399358e-8
1.7912515801655396e-7,6.524575433361881e-7,0.05599865959657148,0.03733243973104768,7.217067748717834e-7,4.811378499145227e-7,1.2217476648869613e-7,7.740362154932667e-8
1.8552248508857376e-7,6.757595984553376e-7,0.05799861172502046,0.03866574115001367,7.474820168314899e-7,4.983213445543271e-7,1.2653815100614955e-7,8.016803660465977e-8
1.9191981216059355e-7,6.990616535744872e-7,0.05999856385346944,0.03999904256897966,7.732572587911965e-7,5.155048391941315e-7,1.3090153552360297e-7,8.293245165999286e-8
2.504866263710021e-7,7.743376779174706e-7,0.06105629335320795,0.040704195568805335,0.0009429514254244747,0.0006286342836163165,1.4490247386139334e-7,8.897550111823822e-8
3.0905344058141063e-7,8.496137022604541e-7,0.062114022852946454,0.04140934856863101,0.001885129593590158,0.001256753062393439,1.589034121991837e-7,9.501855057648358e-8
3.676202547918192e-7,9.248897266034375e-7,0.06317175235268496,0.04211450156845668,0.0028273077617558414,0.0018848718411705614,1.7290435053697407e-7,1.0106160003472893e-7
4.2618706900222774e-7,1.000165750946421e-6,0.06422948185242347,0.04281965456828236,0.0037694859299215247,0.002512990619947684,1.8690528887476444e-7,1.0710464949297429e-7
