Column1,Column49,variable,min,max,index,refined_min,refined_max
88,Infections,Column40,0.0005,0.99,40,1.0,1.0
89,Infections,Column41,0.01,0.072753629846868,41,1.0,0.0
90,Infections,Column42,0.01,0.998444234385973,42,1.0,0.0
91,Infections,Column43,0.01,0.643114784223385,43,1.0,0.0
92,Infections,Column44,0.01,0.999997978173391,44,1.0,0.0
93,Infections,Column45,0.0005,0.376089445663521,45,1.0,0.0
94,Infections,Column46,0.01,0.993847533882141,46,1.0,0.0
95,Infections,Column47,0.01,0.99982579480573,47,1.0,0.0
96,Infections,Column48,0.01,0.992791769306301,48,1.0,0.0
97,YLL,Column1,2.15996659823273e-8,0.00254087282354056,1,0.0,0.0
98,YLL,Column2,2.95864286440605e-12,0.00452086854596539,2,0.0,0.0
99,YLL,Column3,1.30217165261172e-10,0.00649559975084581,3,0.0,0.0
100,YLL,Column4,0.118434551951137,0.202456693417738,4,0.0,0.0
101,YLL,Column5,2.92913856484185e-10,0.00814150054885535,5,0.0,0.0
102,YLL,Column6,0.796930173138366,0.86962531989822,6,0.0,0.0
103,YLL,Column7,5.15162937626564e-12,0.00694923220275921,7,0.0,0.0
104,YLL,Column8,5.35381398318172e-12,0.0104794738723425,8,0.0,0.0
105,YLL,Column9,3.92593634101352e-9,0.00280617627483957,9,0.0,0.0
106,YLL,Column10,5.61697987703004e-12,0.0147590665603538,10,0.0,0.0
107,YLL,Column11,1.23947315276956e-9,0.0264713684113876,11,0.0,0.0
108,YLL,Column12,0.16087582984757,0.627741508391887,12,0.0,0.0
109,YLL,Column13,6.47708509389167e-9,0.0365422915487423,13,0.0,0.0
110,YLL,Column14,7.73653838341795e-13,0.0562685242810228,14,0.0,0.0
111,YLL,Column15,0.364079541542388,0.839045740654927,15,0.0,0.0
112,YLL,Column16,2.32626170159694e-12,0.0556567621231172,16,0.0,0.0
113,YLL,Column17,1.13949623323476e-8,0.0178245480589411,17,0.0,0.0
114,YLL,Column18,1.87311228192623e-7,0.0763308281872921,18,0.0,0.0
115,YLL,Column19,2.76258948013541e-12,0.024754603502337,19,0.0,0.0
116,YLL,Column20,1.06610617198357e-7,0.133291884684237,20,0.0,0.0
117,YLL,Column21,7.25313042362337e-9,0.0844512046084376,21,0.0,0.0
118,YLL,Column22,7.4112500886361e-9,0.0416864036390306,22,0.0,0.0
119,YLL,Column23,0.350580153675298,0.986739805366357,23,0.0,0.0
120,YLL,Column24,0.0130427054903843,0.647195222856724,24,0.0,0.0
121,YLL,Column25,9.40952165943847e-7,0.0772393713254873,25,0.0,0.0
122,YLL,Column26,8.13901278595124e-10,0.230493042810853,26,0.0,0.0
123,YLL,Column27,7.8978234200461e-10,0.301572915161083,27,0.0,0.0
124,YLL,Column28,3.44211236916491e-7,0.330133214405148,28,0.0,0.0
125,YLL,Column29,0.00491295883001097,0.926072323586672,29,0.0,0.0
126,YLL,Column30,4.80778872611693e-12,0.0721652079183783,30,0.0,0.0
127,YLL,Column31,4.99970208007718e-9,0.725934116226343,31,0.0,0.0
128,YLL,Column32,0.00222066928466131,0.989949131194681,32,0.0,0.0
129,YLL,Column33,5.06977404684782e-7,0.231905967521054,33,0.0,0.0
130,YLL,Column34,2.3114212940754e-10,0.88629407972168,34,0.0,0.0
131,YLL,Column35,2.82189170133075e-8,0.909522676845845,35,0.0,0.0
132,YLL,Column36,1.2501603329358e-7,0.916369045826154,36,0.0,0.0
133,YLL,Column37,0.000598395565342106,0.999992358679638,37,0.0,0.0
134,YLL,Column38,5.14348138104335e-8,0.91678524603976,38,0.0,0.0
135,YLL,Column39,4.92255244050686e-9,0.466271378717465,39,0.0,0.0
136,YLL,Column40,8.5976840574369e-10,0.750263049053884,40,0.0,0.0
137,YLL,Column41,1.52396763976381e-5,0.366373827946697,41,0.0,0.0
138,YLL,Column42,1.1716236300268e-6,0.999353921891954,42,0.0,0.0
139,YLL,Column43,8.72701698554443e-9,0.93680771622707,43,0.0,0.0
140,YLL,Column44,2.41745255352086e-8,0.970858398691555,44,0.0,0.0
141,YLL,Column45,1.46328511395793e-5,0.993059900241261,45,0.0,0.0
142,YLL,Column46,5.61808584308988e-8,0.979042067010082,46,0.0,0.0
143,YLL,Column47,3.9128139159671e-8,0.913272069940657,47,0.0,0.0
144,YLL,Column48,6.18998462581578e-7,0.82479532237843,48,0.0,0.0
