"","Column49","variable","min","max","index"
"1","Deaths","Column1",1.36043291524178e-08,0.000752122484636497,1
"2","Deaths","Column2",3.35808900953436e-11,0.004458281910282,2
"3","Deaths","Column3",6.53448812222668e-13,0.00252055668618307,3
"4","Deaths","Column4",0.110919092885264,0.221867972124647,4
"5","Deaths","Column5",1.36349883197311e-11,0.00231099176471327,5
"6","Deaths","Column6",0.777939585389988,0.869625293593493,6
"7","Deaths","Column7",7.58099671809357e-10,0.0203250915098592,7
"8","Deaths","Column8",7.85621856545935e-14,0.0479674566519849,8
"9","Deaths","Column9",1.58551697110324e-09,0.00234213724267203,9
"10","Deaths","Column10",3.40556916040528e-12,0.00661067768552566,10
"11","Deaths","Column11",9.22268047049254e-12,0.00623856030573418,11
"12","Deaths","Column12",7.24397128853316e-13,0.00217799351357969,12
"13","Deaths","Column13",1.45884723551461e-09,0.017584284064078,13
"14","Deaths","Column14",5.37741392690787e-13,0.0278781343623457,14
"15","Deaths","Column15",0.334598089613405,0.413462107010962,15
"16","Deaths","Column16",0.57306985942266,0.642724727070828,16
"17","Deaths","Column17",4.73908142271083e-08,0.00521280840632183,17
"18","Deaths","Column18",5.31812697579278e-14,0.00217317994241902,18
"19","Deaths","Column19",1.95063671020448e-09,0.043517423122941,19
"20","Deaths","Column20",2.39990142973446e-06,0.137252982937258,20
"21","Deaths","Column21",5.46763095547943e-11,0.0217657154465223,21
"22","Deaths","Column22",3.37357128961665e-08,0.0511123202104386,22
"23","Deaths","Column23",0.861878842776953,0.999995468531931,23
"24","Deaths","Column24",4.01608648512158e-13,0.00139640235665389,24
"25","Deaths","Column25",2.02511150024297e-09,0.0719960453284387,25
"26","Deaths","Column26",2.00297553621498e-10,0.235110552505589,26
"27","Deaths","Column27",2.77145379400624e-12,0.0521199545070573,27
"28","Deaths","Column28",2.62597627579871e-09,0.456256005385389,28
"29","Deaths","Column29",0.260631325915974,0.999999970639254,29
"30","Deaths","Column30",3.03911491770633e-14,0.0119087982654555,30
"31","Deaths","Column31",6.98421100609517e-13,0.0240090329996169,31
"32","Deaths","Column32",1.06481113457098e-12,0.0268433670866027,32
"33","Deaths","Column33",1.03805501443808e-09,0.0987241952971096,33
"34","Deaths","Column34",2.16371393880101e-11,0.200104328866281,34
"35","Deaths","Column35",7.71896071639685e-12,0.313291278541667,35
"36","Deaths","Column36",0.00498039598352741,0.999998757941445,36
"37","Deaths","Column37",1.1851334206512e-08,0.878271021734308,37
"38","Deaths","Column38",6.84953158258441e-09,0.741750204692115,38
"39","Deaths","Column39",9.1695567609528e-09,0.973396557009204,39
"40","Deaths","Column40",4.51289288154515e-09,0.721360520079949,40
"41","Deaths","Column41",1.30535201585478e-06,0.183997044231262,41
"42","Deaths","Column42",2.1158885363776e-08,0.672912797706243,42
"43","Deaths","Column43",0.000341638935833125,0.999980740836551,43
"44","Deaths","Column44",5.44213465641644e-06,0.999650164040033,44
"45","Deaths","Column45",5.20053684268039e-08,0.990166785823146,45
"46","Deaths","Column46",4.0435853861361e-09,0.946553525579373,46
"47","Deaths","Column47",1.09407150063153e-11,0.0315571029841146,47
"48","Deaths","Column48",6.12397423224637e-09,0.261690603580923,48
"49","Infections","Column1",9.64300607974444e-12,0.000439817184125361,1
"50","Infections","Column2",4.82843760836334e-10,0.0263089114454609,2
"51","Infections","Column3",2.0901080672253e-13,0.0171382712433177,3
"52","Infections","Column4",0.807044970082809,0.938010243165706,4
"53","Infections","Column5",2.551632403864e-14,0.0097893634272609,5
"54","Infections","Column6",0.0380526619602192,0.192847740244521,6
"55","Infections","Column7",8.02877677113494e-15,0.00712810375747516,7
"56","Infections","Column8",3.89583358884105e-13,0.0046412828134847,8
"57","Infections","Column9",1.23537199271687e-07,0.0203236079650003,9
"58","Infections","Column10",0.192506247493049,0.425777107055598,10
"59","Infections","Column11",6.73585744479389e-14,0.0336316168591735,11
"60","Infections","Column12",1.56277649125604e-11,0.110450592047412,12
"61","Infections","Column13",1.54063957760866e-11,0.0856812006228791,13
"62","Infections","Column14",0.524203786442935,0.802594781045666,14
"63","Infections","Column15",3.2268439501414e-11,0.020591315377307,15
"64","Infections","Column16",3.96514685805906e-10,0.0163738512206848,16
"65","Infections","Column17",6.07091922312198e-11,0.119524685589848,17
"66","Infections","Column18",0.415136101204498,0.999999999622287,18
"67","Infections","Column19",5.60281876618988e-12,0.58047761612319,19
"68","Infections","Column20",1.34975087811711e-15,0.0805328390819526,20
"69","Infections","Column21",7.14317984225902e-17,0.279957947624941,21
"70","Infections","Column22",7.93050966698012e-17,0.0351763774701519,22
"71","Infections","Column23",1.45256623894675e-14,0.147070278869279,23
"72","Infections","Column24",7.86001085896851e-16,0.0464599840844265,24
"73","Infections","Column25",1.84107696478824e-06,0.412643910340687,25
"74","Infections","Column26",1.24405746533826e-08,0.922991173160014,26
"75","Infections","Column27",0.00752124988878152,0.999995718241219,27
"76","Infections","Column28",3.25292913868588e-09,0.606664651003763,28
"77","Infections","Column29",1.43532711870134e-08,0.979999464628303,29
"78","Infections","Column30",7.18275815270755e-10,0.178551318188066,30
"79","Infections","Column31",4.33225904411776e-11,0.406288294063724,31
"80","Infections","Column32",3.00040260936829e-09,0.125841064682454,32
"81","Infections","Column33",3.98121483248676e-08,0.286819506528613,33
"82","Infections","Column34",6.88638141629751e-09,0.857303630986644,34
"83","Infections","Column35",1.44364057369928e-08,0.998913609632807,35
"84","Infections","Column36",8.3727438470935e-09,0.513465112884063,36
"85","Infections","Column37",2.51908350830841e-06,0.999993602086089,37
"86","Infections","Column38",1.94007345008139e-12,0.385478035079135,38
"87","Infections","Column39",3.12016116710079e-06,0.99679019391924,39
"88","Infections","Column40",8.23209287159635e-13,0.47863537694673,40
"89","Infections","Column41",7.43183540188549e-08,0.072753629846868,41
"90","Infections","Column42",1.02738109976605e-08,0.998444234385973,42
"91","Infections","Column43",2.37214799228222e-10,0.643114784223385,43
"92","Infections","Column44",1.25456935574946e-07,0.999997978173391,44
"93","Infections","Column45",2.22049520746714e-09,0.376089445663521,45
"94","Infections","Column46",1.2339240904929e-10,0.993847533882141,46
"95","Infections","Column47",1.03833873907588e-08,0.99982579480573,47
"96","Infections","Column48",4.80381045807265e-08,0.992791769306301,48
"97","YLL","Column1",2.15996659823273e-08,0.00254087282354056,1
"98","YLL","Column2",2.95864286440605e-12,0.00452086854596539,2
"99","YLL","Column3",1.30217165261172e-10,0.00649559975084581,3
"100","YLL","Column4",0.118434551951137,0.202456693417738,4
"101","YLL","Column5",2.92913856484185e-10,0.00814150054885535,5
"102","YLL","Column6",0.796930173138366,0.86962531989822,6
"103","YLL","Column7",5.15162937626564e-12,0.00694923220275921,7
"104","YLL","Column8",5.35381398318172e-12,0.0104794738723425,8
"105","YLL","Column9",3.92593634101352e-09,0.00280617627483957,9
"106","YLL","Column10",5.61697987703004e-12,0.0147590665603538,10
"107","YLL","Column11",1.23947315276956e-09,0.0264713684113876,11
