Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7125027818801705e-6,1.4689939276904883e-6,6.659681818966232e-7,0.002514940789226356,1.778184789219388e-7,0.0008138460775529115,4.0287673872347174e-7,1.1830644495323023e-7
3.425005563760341e-6,2.9379878553809765e-6,1.3319363637932463e-6,0.005029881578452712,3.556369578438776e-7,0.001627692155105823,8.057534774469435e-7,2.3661288990646046e-7
5.1375083456405115e-6,4.406981783071465e-6,1.9979045456898696e-6,0.007544822367679067,5.334554367658164e-7,0.0024415382326587343,1.2086302161704153e-6,3.549193348596907e-7
6.850011127520682e-6,5.875975710761953e-6,2.6638727275864927e-6,0.010059763156905424,7.112739156877552e-7,0.003255384310211646,1.611506954893887e-6,4.732257798129209e-7
8.562513909400853e-6,7.344969638452441e-6,3.3298409094831158e-6,0.01257470394613178,8.890923946096939e-7,0.0040692303877645575,2.014383693617359e-6,5.915322247661511e-7
1.0275016691281023e-5,8.81396356614293e-6,3.995809091379739e-6,0.015089644735358137,1.0669108735316327e-6,0.004883076465317469,2.4172604323408306e-6,7.098386697193813e-7
1.1987519473161194e-5,1.0282957493833419e-5,4.661777273276362e-6,0.017604585524584493,1.2447293524535714e-6,0.00569692254287038,2.8201371710643022e-6,8.281451146726115e-7
1.3700022255041364e-5,1.1751951421523908e-5,5.327745455172985e-6,0.020119526313810848,1.4225478313755101e-6,0.006510768620423291,3.223013909787774e-6,9.464515596258417e-7
1.5412525036921533e-5,1.3220945349214397e-5,5.9937136370696084e-6,0.022634467103037202,1.6003663102974489e-6,0.007324614697976202,3.6258906485112456e-6,1.064758004579072e-6
1.7125027818801702e-5,1.4689939276904886e-5,6.6596818189662315e-6,0.025149407892263557,1.7781847892193876e-6,0.008138460775529113,4.028767387234718e-6,1.1830644495323022e-6
1.883753060068187e-5,1.6158933204595373e-5,7.325650000862855e-6,0.02766434868148991,1.9560032681413266e-6,0.008952306853082025,4.43164412595819e-6,1.3013708944855324e-6
2.055003338256204e-5,1.762792713228586e-5,7.991618182759478e-6,0.030179289470716266,2.1338217470632653e-6,0.009766152930634937,4.834520864681662e-6,1.4196773394387626e-6
2.2262536164442208e-5,1.9096921059976347e-5,8.657586364656102e-6,0.03269423025994262,2.311640225985204e-6,0.01057999900818785,5.237397603405134e-6,1.5379837843919928e-6
2.3975038946322377e-5,2.0565914987666834e-5,9.323554546552725e-6,0.03520917104916898,2.489458704907143e-6,0.011393845085740761,5.640274342128606e-6,1.656290229345223e-6
