Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6162067796451074e-6,0.0007448021690688582,2.1006421384628622e-5,0.0014354146339333824,7.872001313942851e-6,0.0011124899709240399,1.5117030774337528e-6,6.6202268514027225e-6
7.232413559290215e-6,0.0014896043381377165,4.2012842769257244e-5,0.002870829267866765,1.5744002627885702e-5,0.0022249799418480798,3.0234061548675055e-6,1.3240453702805445e-5
1.0848620338935322e-5,0.002234406507206575,6.301926415388587e-5,0.004306243901800147,2.3616003941828552e-5,0.0033374699127721196,4.535109232301259e-6,1.986068055420817e-5
1.446482711858043e-5,0.002979208676275433,8.402568553851449e-5,0.00574165853573353,3.1488005255771405e-5,0.0044499598836961595,6.046812309735011e-6,2.648090740561089e-5
1.8081033898225537e-5,0.003724010845344291,0.0001050321069231431,0.007177073169666912,3.936000656971426e-5,0.0055624498546202,7.5585153871687634e-6,3.3101134257013615e-5
2.1697240677870644e-5,0.004468813014413149,0.00012603852830777172,0.008612487803600294,4.723200788365711e-5,0.00667493982554424,9.070218464602516e-6,3.972136110841634e-5
2.5313447457515752e-5,0.005213615183482007,0.00014704494969240033,0.010047902437533677,5.5104009197599963e-5,0.0077874297964682804,1.0581921542036268e-5,4.634158795981906e-5
2.892965423716086e-5,0.005958417352550865,0.00016805137107702895,0.01148331707146706,6.297601051154281e-5,0.00889991976739232,1.209362461947002e-5,5.296181481122178e-5
3.254586101680597e-5,0.006703219521619723,0.00018905779246165756,0.012918731705400442,7.084801182548566e-5,0.010012409738316361,1.3605327696903773e-5,5.95820416626245e-5
3.616206779645108e-5,0.007448021690688581,0.00021006421384628618,0.014354146339333825,7.87200131394285e-5,0.011124899709240401,1.5117030774337525e-5,6.620226851402723e-5
3.977827457609619e-5,0.008192823859757439,0.0002310706352309148,0.015789560973267208,8.659201445337135e-5,0.012237389680164442,1.662873385177128e-5,7.282249536542995e-5
4.33944813557413e-5,0.008937626028826298,0.00025207705661554344,0.01722497560720059,9.44640157673142e-5,0.013349879651088482,1.814043692920503e-5,7.944272221683267e-5
4.701068813538641e-5,0.009682428197895157,0.0002730834780001721,0.01866039024113397,0.00010233601708125704,0.014462369622012522,1.9652140006638784e-5,8.60629490682354e-5
5.0626894915031524e-5,0.010427230366964016,0.0002940898993848007,0.02009580487506735,0.00011020801839519989,0.015574859592936563,2.1163843084072536e-5,9.268317591963812e-5
5.4243101694676635e-5,0.011172032536032874,0.00031509632076942936,0.02153121950900073,0.00011808001970914273,0.0166873495638606,2.267554616150629e-5,9.930340277104084e-5
5.7859308474321746e-5,0.011916834705101733,0.000336102742154058,0.022966634142934112,0.0001259520210230856,0.01779983953478464,2.418724923894004e-5,0.00010592362962244356
6.147551525396686e-5,0.012661636874170592,0.00035710916353868665,0.024402048776867493,0.00013382402233702844,0.018912329505708682,2.5698952316373793e-5,0.00011254385647384628
6.509172203361197e-5,0.013406439043239451,0.0003781155849233153,0.025837463410800874,0.00014169602365097128,0.020024819476632722,2.7210655393807546e-5,0.000119164083325249
6.870792881325708e-5,0.01415124121230831,0.00039912200630794393,0.027272878044734255,0.00014956802496491413,0.021137309447556762,2.8722358471241298e-5,0.00012578431017665174
7.232413559290219e-5,0.014896043381377169,0.0004201284276925726,0.028708292678667636,0.00015744002627885698,0.022249799418480803,3.023406154867505e-5,0.00013240453702805446
7.59403423725473e-5,0.015640845550446026,0.0004411348490772012,0.030143707312601017,0.00016531202759279982,0.023362289389404843,3.17457646261088e-5,0.00013902476387945718
7.955654915219241e-5,0.016385647719514885,0.00046214127046182986,0.0315791219465344,0.00017318402890674267,0.024474779360328883,3.325746770354256e-5,0.0001456449907308599
8.317275593183752e-5,0.017130449888583744,0.0004831476918464585,0.03301453658046778,0.00018105603022068551,0.025587269331252924,3.4769170780976314e-5,0.00015226521758226263
8.678896271148263e-5,0.017875252057652603,0.0005041541132310871,0.03444995121440116,0.00018892803153462836,0.026699759302176964,3.628087385841007e-5,0.00015888544443366535
9.040516949112774e-5,0.01862005422672146,0.0005251605346157157,0.035885365848334544,0.0001968000328485712,0.027812249273101004,3.7792576935843826e-5,0.00016550567128506807
9.402137627077285e-5,0.01936485639579032,0.0005461669560003444,0.037320780482267925,0.00020467203416251405,0.028924739244025045,3.930428001327758e-5,0.0001721258981364708
9.763758305041796e-5,0.02010965856485918,0.000567173377384973,0.038756195116201306,0.0002125440354764569,0.030037229214949085,4.081598309071134e-5,0.0001787461249878735
0.00010125378983006308,0.020854460733928038,0.0005881797987696017,0.04019160975013469,0.00022041603679039975,0.031149719185873125,4.232768616814509e-5,0.00018536635183927623
0.00010486999660970819,0.021599262902996897,0.0006091862201542303,0.04162702438406807,0.0002282880381043426,0.032262209156797166,4.383938924557885e-5,0.00019198657869067895
0.0001084862033893533,0.022344065072065756,0.0006301926415388589,0.04306243901800145,0.00023616003941828544,0.0333746991277212,4.5351092323012604e-5,0.00019860680554208168
0.00011210241016899841,0.023088867241134615,0.0006511990629234876,0.04449785365193483,0.00024403204073222828,0.03448718909864524,4.686279540044636e-5,0.0002052270323934844
0.00011571861694864352,0.023833669410203474,0.0006722054843081162,0.04593326828586821,0.00025190404204617113,0.035599679069569276,4.8374498477880116e-5,0.00021184725924488712
0.00011933482372828863,0.024578471579272333,0.0006932119056927449,0.04736868291980159,0.000259776043360114,0.03671216904049331,4.988620155531387e-5,0.00021846748609628984
0.00012295103050793374,0.02532327374834119,0.0007142183270773735,0.04880409755373497,0.0002676480446740568,0.03782465901141735,5.139790463274763e-5,0.00022508771294769256
0.00012656723728757884,0.02606807591741005,0.0007352247484620022,0.05023951218766835,0.00027552004598799967,0.03893714898234139,5.290960771018138e-5,0.00023170793979909528
0.00013018344406722393,0.02681287808647891,0.0007562311698466308,0.051674926821601734,0.0002833920473019425,0.04004963895326542,5.442131078761514e-5,0.000238328166650498
0.00013379965084686903,0.027557680255547768,0.0007772375912312594,0.053110341455535115,0.00029126404861588536,0.04116212892418946,5.5933013865048894e-5,0.00024494839350190076
0.00013741585762651413,0.028302482424616627,0.0007982440126158881,0.054545756089468496,0.0002991360499298282,0.0422746188951135,5.744471694248265e-5,0.0002515686203533035
0.00014103206440615923,0.029047284593685486,0.0008192504340005167,0.05598117072340188,0.00030700805124377105,0.043387108866037534,5.8956420019916406e-5,0.0002581888472047062
0.00014464827118580432,0.029792086762754345,0.0008402568553851454,0.05741658535733526,0.0003148800525577139,0.04449959883696157,6.046812309735016e-5,0.0002648090740561089
0.00014826447796544942,0.030536888931823204,0.000861263276769774,0.05885199999126864,0.00032275205387165674,0.04561208880788561,6.197982617478391e-5,0.00027142930090751164
0.00015188068474509452,0.03128169110089206,0.0008822696981544026,0.06028741462520202,0.0003306240551855996,0.046724578778809644,6.349152925221766e-5,0.00027804952775891436
0.00015549689152473962,0.03202649326996092,0.0009032761195390313,0.0617228292591354,0.00033849605649954244,0.04783706874973368,6.500323232965141e-5,0.0002846697546103171
0.0001591130983043847,0.03277129543902978,0.0009242825409236599,0.06315824389306879,0.0003463680578134853,0.04894955872065772,6.651493540708516e-5,0.0002912899814617198
0.0001627293050840298,0.033516097608098636,0.0009452889623082886,0.06459365852700218,0.00035424005912742813,0.050062048691581755,6.80266384845189e-5,0.00029791020831312253
0.0001663455118636749,0.034260899777167494,0.0009662953836929172,0.06602907316093556,0.000362112060441371,0.05117453866250579,6.953834156195266e-5,0.00030453043516452525
0.00016996171864332,0.03500570194623635,0.0009873018050775458,0.06746448779486895,0.0003699840617553138,0.05228702863342983,7.10500446393864e-5,0.00031115066201592797
0.0001735779254229651,0.03575050411530521,0.0010083082264621744,0.06889990242880234,0.00037785606306925667,0.053399518604353866,7.256174771682015e-5,0.0003177708888673307
0.0001771941322026102,0.03649530628437407,0.001029314647846803,0.07033531706273573,0.0003857280643831995,0.0545120085752779,7.40734507942539e-5,0.0003243911157187334
0.0001808103389822553,0.03724010845344293,0.0010503210692314317,0.07177073169666912,0.00039360006569714236,0.05562449854620194,7.558515387168765e-5,0.00033101134257013614
0.0001844265457619004,0.03798491062251179,0.0010713274906160603,0.0732061463306025,0.0004014720670110852,0.056736988517125976,7.70968569491214e-5,0.00033763156942153886
0.0001880427525415455,0.03872971279158065,0.001092333912000689,0.07464156096453589,0.00040934406832502805,0.05784947848805001,7.860856002655515e-5,0.0003442517962729416
0.00018845615031434036,0.03873058247524629,0.0010932768476279932,0.07464152166900118,0.00041025099299270236,0.05784956101027346,7.969678292143695e-5,0.00034477212040235093
0.0001884594474769141,0.03873058939276581,0.0010932843422108264,0.07464148312368445,0.00041025820763574853,0.057849561661829745,7.970546008883451e-5,0.0003447762821023167
0.00018846268800516074,0.038730596173072195,0.0010932916831889311,0.07464144529915008,0.000410265280337288,0.05784956229592659,7.971398592805301e-5,0.0003447803837019522
0.00018846587410015258,0.038730602821581465,0.0010932988771430233,0.07464140816630849,0.00041027221696689653,0.05784956291344772,7.972236623229999e-5,0.0003447844274484276
0.00018846900792118102,0.03873060934360095,0.0010933059304866252,0.07464137169669999,0.0004102790232594443,0.05784956351524354,7.973060668879966e-5,0.00034478841555179697
0.00018847209156702287,0.03873061574428684,0.001093312849416786,0.07464133586272713,0.00041028570476945507,0.05784956410212611,7.973871282981007e-5,0.000344792350163805
0.00018847512706224334,0.03873062202861351,0.0010933196398794514,0.07464130063782172,0.0004102922668385408,0.05784956467486604,7.974668999676904e-5,0.00034479623336211167
0.00018847811634834007,0.038730628201354034,0.0010933263075486145,0.0746412659965499,0.00041029871457520827,0.05784956523419107,7.975454331704089e-5,0.00034480006713982325
0.00018848106127897568,0.03873063426707008,0.0010933328578168974,0.07464123191466525,0.00041030505284498487,0.057849565780786066,7.976227769129601e-5,0.00034480385339957044
0.00018848396361839662,0.038730640230108956,0.0010933392957948728,0.07464119836912181,0.00041031128626848196,0.05784956631529397,7.976989778916953e-5,0.0003448075939511799
0.00018848682504218377,0.038730646094605886,0.0010933456263166417,0.07464116533805804,0.0004103174192251841,0.057849566838317434,7.97774080509761e-5,0.00034481129051201407
0.00018848964713961099,0.03873065186448983,0.001093351853949597,0.07464113280076097,0.0004103234558611123,0.05784956735042091,7.978481269359999e-5,0.00034481494470918147
0.00018849243141703896,0.03873065754349157,0.001093357983006761,0.07464110073761789,0.000410329400098914,0.057849567852132945,7.979211571907427e-5,0.0003448185580829765
0.00018849517930191235,0.038730663135153054,0.0010933640175605,0.07464106913006097,0.00041033525564930013,0.057849568343948506,7.979932092473047e-5,0.00034482213209105944
0.00018849789214704865,0.03873066864283732,0.0010933699614567689,0.0746410379605088,0.00041034102602305973,0.057849568826331375,7.98064319141115e-5,0.000344825668113016
0.00018850057123500128,0.0387306740697386,0.0010933758183293025,0.07464100721230746,0.00041034671454312266,0.05784956929971638,7.981345210808688e-5,0.00034482916745504305
0.00018850321778235283,0.038730679418892154,0.001093381591613385,0.07464097686967283,0.000410352324356326,0.05784956976451156,7.982038475579739e-5,0.00034483263135458737
0.00018850583294384692,0.03873068469318374,0.0010933872845589644,0.07464094691763548,0.00041035785844467036,0.05784957022110016,7.98272329451939e-5,0.0003448360609848265
0.0001885084178163055,0.038730689895358626,0.001093392900242993,0.07464091734198844,0.000410363319635948,0.05784957066984249,7.983399961303311e-5,0.00034483945745892393
0.00018851097344230454,0.038730695028030004,0.0010933984415809406,0.07464088812923841,0.00041036871061368697,0.057849571111077636,7.984068755426139e-5,0.00034484282183402243
0.00018851350081359954,0.03873070009368688,0.0010934039113374718,0.07464085926656032,0.00041037403392640023,0.057849571545125045,7.984729943076304e-5,0.00034484615511496205
0.00018851600087430248,0.038730705094701376,0.0010934093121363164,0.07464083074175522,0.0004103792919961539,0.05784957197228595,7.985383777947937e-5,0.0003448494582577209
0.00018851847452382034,0.03873071003333554,0.0010934146464693696,0.07464080254321144,0.00041038448712648636,0.057849572392844675,7.986030501992272e-5,0.0003448527321725885
0.00018852092261956854,0.038730714911747614,0.0010934199167050736,0.07464077465986867,0.00041038962150971803,0.05784957280706984,7.986670346112033e-5,0.00034485597772708547
0.00018852334597947484,0.038730719731997904,0.0010934251250961354,0.07464074708118486,0.0004103946972336964,0.05784957321521548,7.987303530802784e-5,0.0003448591957486462
0.00018852574538429014,0.03873072449605416,0.0010934302737866343,0.07464071979710565,0.00041039971628802096,0.057849573617521986,7.987930266745398e-5,0.0003448623870270831
0.00018852812157972218,0.0387307292057966,0.0010934353648185727,0.0746406927980362,0.00041040468056979226,0.05784957401421708,7.98855075535376e-5,0.0003448655523168508
0.00018853047527840776,0.03873073386302259,0.001093440400137919,0.07464066607481507,0.0004104095918889266,0.057849574405516614,7.989165189281615e-5,0.0003448686923391274
0.00018853280716173767,0.03873073846945095,0.0010934453816001893,0.0746406396186901,0.00041041445197307475,0.05784957479162536,7.989773752892264e-5,0.00034487180778373016
0.00018853511788154798,0.03873074302672604,0.00109345031097561,0.07464061342129606,0.0004104192624721817,0.057849575172737706,7.990376622694467e-5,0.0003448748993108809
0.00018853740806168984,0.03873074753642151,0.0010934551899538997,0.07464058747463391,0.00041042402496271793,0.057849575549038294,7.990973967747668e-5,0.0003448779675528355
0.00018853967829948856,0.0387307520000438,0.0010934600201487061,0.07464056177105143,0.0004104287409516136,0.05784957592070264,7.991565950039349e-5,0.0003448810131153902
0.00018854192916710263,0.03873075641903549,0.0010934648031017272,0.0746405363032253,0.00041043341187992115,0.05784957628789766,7.992152724837019e-5,0.0003448840365792771
0.00018854416121279107,0.03873076079477839,0.0010934695402865474,0.07464051106414431,0.0004104380391262305,0.057849576650782185,7.992734441017147e-5,0.0003448870385014587
0.00018854637496209766,0.03873076512859643,0.0010934742331122126,0.0746404860470937,0.000410442624009859,0.057849577009507464,7.993311241373043e-5,0.00034489001941633127
0.00018854857091895902,0.038730769421758404,0.0010934788829265669,0.07464046124564047,0.0004104471677938342,0.057849577364217544,7.993883262903552e-5,0.00034489297983684596
0.00018855074956674334,0.03873077367548054,0.001093483491019372,0.07464043665361969,0.0004104516716876886,0.05784957771504971,7.994450637084161e-5,0.0003448959202555544
0.00018855291136922537,0.03873077789092897,0.0010934880586252274,0.07464041226512155,0.0004104561368500804,0.05784957806213488,7.995013490122016e-5,0.00034489884114558656
0.00018855505677150313,0.03873078206922198,0.001093492586926308,0.07464038807447927,0.00041046056439125516,0.0578495784055979,7.995571943196148e-5,0.00034490174296156634
0.00018855718620086083,0.03873078621143221,0.0010934970770549333,0.07464036407625767,0.0004104649553753612,0.05784957874555793,7.996126112684084e-5,0.00034490462614047014
0.00018855930006758253,0.03873079031858869,0.001093501530095982,0.07464034026524242,0.0004104693108226296,0.0578495790821287,7.99667611037592e-5,0.0003449074911024342
0.00018856139876572008,0.038730794391678806,0.0010935059470891652,0.07464031663642992,0.00041047363171142906,0.05784957941541883,7.997222043676774e-5,0.0003449103382515139
