Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.522543176281543e-7,1.4796227152276925e-6,9.644873661254915e-7,0.0030027959777401535,6.311015114431321e-7,0.0003268264282220236,1.6617416473898537e-7,3.1728729599327354e-7
3.045086352563086e-7,2.959245430455385e-6,1.928974732250983e-6,0.006005591955480307,1.2622030228862642e-6,0.0006536528564440472,3.3234832947797075e-7,6.345745919865471e-7
4.567629528844629e-7,4.438868145683078e-6,2.8934620983764747e-6,0.00900838793322046,1.8933045343293964e-6,0.000980479284666071,4.985224942169561e-7,9.518618879798207e-7
6.090172705126172e-7,5.91849086091077e-6,3.857949464501966e-6,0.012011183910960614,2.5244060457725285e-6,0.0013073057128880944,6.646966589559415e-7,1.2691491839730942e-6
7.612715881407716e-7,7.398113576138462e-6,4.822436830627457e-6,0.015013979888700768,3.1555075572156604e-6,0.001634132141110118,8.308708236949269e-7,1.5864364799663677e-6
9.135259057689259e-7,8.877736291366156e-6,5.7869241967529485e-6,0.01801677586644092,3.7866090686587923e-6,0.0019609585693321414,9.970449884339122e-7,1.9037237759596411e-6
1.0657802233970801e-6,1.0357359006593848e-5,6.75141156287844e-6,0.021019571844181073,4.417710580101924e-6,0.002287784997554165,1.1632191531728975e-6,2.2210110719529146e-6
1.2180345410252345e-6,1.183698172182154e-5,7.715898929003932e-6,0.02402236782192123,5.048812091545056e-6,0.0026146114257761884,1.3293933179118828e-6,2.5382983679461883e-6
1.3702888586533888e-6,1.3316604437049233e-5,8.680386295129424e-6,0.027025163799661384,5.679913602988188e-6,0.002941437853998212,1.495567482650868e-6,2.855585663939462e-6
1.5225431762815431e-6,1.4796227152276925e-5,9.644873661254916e-6,0.03002795977740154,6.31101511443132e-6,0.0032682642822202354,1.6617416473898534e-6,3.1728729599327357e-6
1.6747974939096975e-6,1.6275849867504617e-5,1.0609361027380408e-5,0.033030755755141694,6.942116625874452e-6,0.003595090710442259,1.8279158121288387e-6,3.4901602559260094e-6
1.8270518115378518e-6,1.775547258273231e-5,1.15738483935059e-5,0.03603355173288185,7.573218137317584e-6,0.003921917138664283,1.994089976867824e-6,3.807447551919283e-6
1.979306129166006e-6,1.9235095297960005e-5,1.2538335759631392e-5,0.039036347710622005,8.204319648760716e-6,0.004248743566886306,2.1602641416068095e-6,4.124734847912556e-6
2.1315604467941602e-6,2.07147180131877e-5,1.3502823125756885e-5,0.04203914368836216,8.835421160203848e-6,0.00457556999510833,2.326438306345795e-6,4.44202214390583e-6
2.2838147644223144e-6,2.2194340728415393e-5,1.4467310491882377e-5,0.045041939666102315,9.466522671646981e-6,0.004902396423330353,2.4926124710847805e-6,4.759309439899104e-6
2.4360690820504685e-6,2.3673963443643087e-5,1.5431797858007867e-5,0.04804473564384247,1.0097624183090114e-5,0.005229222851552377,2.658786635823766e-6,5.0765967358923775e-6
2.5883233996786226e-6,2.515358615887078e-5,1.6396285224133358e-5,0.051047531621582626,1.0728725694533247e-5,0.0055560492797744,2.8249608005627515e-6,5.393884031885651e-6
2.7405777173067767e-6,2.6633208874098475e-5,1.7360772590258848e-5,0.05405032759932278,1.135982720597638e-5,0.005882875707996424,2.991134965301737e-6,5.711171327878925e-6
2.892832034934931e-6,2.811283158932617e-5,1.832525995638434e-5,0.057053123577062936,1.1990928717419512e-5,0.006209702136218447,3.1573091300407225e-6,6.028458623872199e-6
3.045086352563085e-6,2.9592454304553863e-5,1.928974732250983e-5,0.06005591955480309,1.2622030228862645e-5,0.006536528564440471,3.323483294779708e-6,6.345745919865472e-6
3.197340670191239e-6,3.1072077019781554e-5,2.025423468863532e-5,0.06305871553254325,1.3253131740305778e-5,0.006863354992662494,3.4896574595186935e-6,6.663033215858746e-6
3.349594987819393e-6,3.255169973500925e-5,2.121872205476081e-5,0.0660615115102834,1.388423325174891e-5,0.007190181420884518,3.655831624257679e-6,6.98032051185202e-6
3.5018493054475473e-6,3.403132245023694e-5,2.21832094208863e-5,0.06906430748802356,1.4515334763192043e-5,0.007517007849106541,3.822005788996664e-6,7.297607807845293e-6
3.6541036230757014e-6,3.5510945165464636e-5,2.314769678701179e-5,0.07206710346576371,1.5146436274635176e-5,0.007843834277328566,3.98817995373565e-6,7.614895103838567e-6
3.8063579407038556e-6,3.699056788069233e-5,2.411218415313728e-5,0.07506989944350387,1.577753778607831e-5,0.00817066070555059,4.154354118474635e-6,7.93218239983184e-6
