Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.154411245606924e-7,1.256590978419193e-6,8.802031045910061e-7,0.0029890669887735082,3.383712232077593e-6,0.00033796103510130577,2.0082912963020942e-7,2.6853288924123105e-7
6.308822491213849e-7,2.513181956838386e-6,1.7604062091820122e-6,0.0059781339775470165,6.767424464155186e-6,0.0006759220702026115,4.0165825926041885e-7,5.370657784824621e-7
9.463233736820772e-7,3.769772935257579e-6,2.6406093137730183e-6,0.008967200966320525,1.0151136696232778e-5,0.0010138831053039172,6.024873888906283e-7,8.055986677236932e-7
1.2617644982427697e-6,5.026363913676772e-6,3.5208124183640244e-6,0.011956267955094033,1.3534848928310372e-5,0.001351844140405223,8.033165185208377e-7,1.0741315569649242e-6
1.5772056228034622e-6,6.2829548920959655e-6,4.4010155229550306e-6,0.01494533494386754,1.6918561160387966e-5,0.001689805175506529,1.0041456481510472e-6,1.3426644462061552e-6
1.8926467473641547e-6,7.539545870515159e-6,5.281218627546037e-6,0.01793440193264105,2.030227339246556e-5,0.002027766210607835,1.2049747777812566e-6,1.6111973354473862e-6
2.208087871924847e-6,8.796136848934352e-6,6.161421732137043e-6,0.02092346892141456,2.3685985624543154e-5,0.0023657272457091407,1.405803907411466e-6,1.8797302246886172e-6
2.5235289964855394e-6,1.0052727827353545e-5,7.041624836728049e-6,0.02391253591018807,2.7069697856620748e-5,0.0027036882808104466,1.6066330370416754e-6,2.1482631139298484e-6
2.8389701210462317e-6,1.1309318805772737e-5,7.921827941319054e-6,0.02690160289896158,3.0453410088698342e-5,0.0030416493159117525,1.8074621666718848e-6,2.4167960031710794e-6
3.154411245606924e-6,1.256590978419193e-5,8.80203104591006e-6,0.02989066988773509,3.383712232077593e-5,0.0033796103510130584,2.0082912963020944e-6,2.6853288924123104e-6
3.469852370167616e-6,1.3822500762611122e-5,9.682234150501065e-6,0.032879736876508595,3.7220834552853527e-5,0.0037175713861143642,2.2091204259323038e-6,2.9538617816535414e-6
3.7852934947283085e-6,1.5079091741030314e-5,1.056243725509207e-5,0.0358688038652821,4.060454678493112e-5,0.00405553242121567,2.409949555562513e-6,3.2223946708947724e-6
4.100734619289001e-6,1.633568271944951e-5,1.1442640359683075e-5,0.03885787085405561,4.3988259017008714e-5,0.004393493456316976,2.6107786851927226e-6,3.4909275601360033e-6
