Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1310674011627534e-6,3.4657836619562e-6,3.076812453709103e-6,0.0029955581462180235,2.9066364139313395e-6,0.00032616652962674976,9.688639705674065e-7,5.9493587233098756e-8
2.262134802325507e-6,6.9315673239124e-6,6.153624907418206e-6,0.005991116292436047,5.813272827862679e-6,0.0006523330592534995,1.937727941134813e-6,1.1898717446619751e-7
3.3932022034882603e-6,1.03973509858686e-5,9.23043736112731e-6,0.008986674438654071,8.719909241794019e-6,0.0009784995888802493,2.9065919117022194e-6,1.7848076169929627e-7
4.524269604651014e-6,1.38631346478248e-5,1.2307249814836412e-5,0.011982232584872094,1.1626545655725358e-5,0.001304666118506999,3.875455882269626e-6,2.3797434893239502e-7
5.655337005813768e-6,1.7328918309781e-5,1.5384062268545514e-5,0.014977790731090117,1.4533182069656697e-5,0.0016308326481337487,4.844319852837033e-6,2.974679361654938e-7
6.7864044069765215e-6,2.0794701971737202e-5,1.8460874722254617e-5,0.01797334887730814,1.7439818483588038e-5,0.0019569991777604987,5.8131838234044396e-6,3.5696152339859254e-7
7.917471808139275e-6,2.4260485633693403e-5,2.153768717596372e-5,0.020968907023526162,2.0346454897519377e-5,0.0022831657073872484,6.782047793971846e-6,4.164551106316913e-7
9.04853920930203e-6,2.7726269295649604e-5,2.461449962967282e-5,0.023964465169744185,2.3253091311450716e-5,0.002609332237013998,7.750911764539252e-6,4.7594869786479005e-7
1.0179606610464783e-5,3.1192052957605805e-5,2.7691312083381923e-5,0.026960023315962207,2.6159727725382055e-5,0.0029354987666407478,8.719775735106658e-6,5.354422850978888e-7
1.1310674011627537e-5,3.4657836619562e-5,3.076812453709103e-5,0.02995558146218023,2.9066364139313394e-5,0.0032616652962674975,9.688639705674064e-6,5.949358723309876e-7
1.244174141279029e-5,3.81236202815182e-5,3.384493699080013e-5,0.03295113960839825,3.197300055324473e-5,0.003587831825894247,1.065750367624147e-5,6.544294595640863e-7
1.3572808813953045e-5,4.15894039434744e-5,3.692174944450923e-5,0.03594669775461628,3.4879636967176076e-5,0.003913998355520997,1.1626367646808876e-5,7.139230467971851e-7
1.4703876215115798e-5,4.5055187605430595e-5,3.9998561898218335e-5,0.038942255900834305,3.778627338110742e-5,0.004240164885147747,1.2595231617376282e-5,7.734166340302838e-7
1.583494361627855e-5,4.852097126738679e-5,4.307537435192744e-5,0.04193781404705233,4.069290979503876e-5,0.004566331414774497,1.3564095587943688e-5,8.329102212633826e-7
1.6966011017441303e-5,5.198675492934299e-5,4.615218680563654e-5,0.04493337219327036,4.35995462089701e-5,0.004892497944401246,1.4532959558511093e-5,8.924038084964813e-7
1.8097078418604055e-5,5.545253859129919e-5,4.922899925934564e-5,0.04792893033948838,4.6506182622901446e-5,0.005218664474027996,1.55018235290785e-5,9.518973957295801e-7
1.9228145819766807e-5,5.8918322253255385e-5,5.2305811713054744e-5,0.05092448848570641,4.941281903683279e-5,0.005544831003654746,1.6470687499645907e-5,1.0113909829626789e-6
2.035921322092956e-5,6.238410591521158e-5,5.5382624166763846e-5,0.053920046631924436,5.231945545076413e-5,0.0058709975332814955,1.7439551470213313e-5,1.0708845701957776e-6
2.149028062209231e-5,6.584988957716779e-5,5.845943662047295e-5,0.05691560477814246,5.522609186469547e-5,0.006197164062908245,1.840841544078072e-5,1.1303781574288764e-6
2.2621348023255064e-5,6.931567323912399e-5,6.153624907418206e-5,0.05991116292436049,5.8132728278626816e-5,0.006523330592534995,1.9377279411348125e-5,1.1898717446619751e-6
2.3752415424417816e-5,7.27814569010802e-5,6.461306152789117e-5,0.06290672107057851,6.103936469255816e-5,0.006849497122161745,2.034614338191553e-5,1.2493653318950739e-6
2.4883482825580568e-5,7.62472405630364e-5,6.768987398160028e-5,0.06590227921679653,6.39460011064895e-5,0.007175663651788494,2.1315007352482936e-5,1.3088589191281726e-6
2.601455022674332e-5,7.97130242249926e-5,7.076668643530938e-5,0.06889783736301455,6.685263752042083e-5,0.007501830181415244,2.2283871323050342e-5,1.3683525063612714e-6
2.7145617627906072e-5,8.317880788694881e-5,7.38434988890185e-5,0.07189339550923257,6.975927393435217e-5,0.007827996711041995,2.3252735293617748e-5,1.4278460935943701e-6
2.8276685029068824e-5,8.664459154890501e-5,7.69203113427276e-5,0.07488895365545059,7.26659103482835e-5,0.008154163240668744,2.4221599264185154e-5,1.487339680827469e-6
2.9407752430231577e-5,9.011037521086122e-5,7.999712379643671e-5,0.07788451180166861,7.557254676221484e-5,0.008480329770295494,2.519046323475256e-5,1.5468332680605677e-6
