"","age_breaks","IFR","Population"
"1","(-1,4]",6.72380099729175e-06,20438539
"2","(4,19]",2.56427081338364e-05,62008742
"3","(19,39]",0.000231601650832602,90312888
"4","(39,59]",0.00266945599342015,82816575
"5","(59,74]",0.0182079928314157,53800229
"6","(74,500]",0.120109962290034,23262129
